City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
117,kloulklubed,40,PW,1526500320,94,7.04,134.26,80.6,3.94
118,bartica,40,GY,1526500800,62,6.41,-58.62,84.2,13.87
119,port elizabeth,90,US,1526499600,93,39.31,-74.98,69.8,6.93
120,lebu,8,ET,1526501597,83,8.96,38.73,51.78,4.27
121,okhotsk,88,RU,1526501597,94,59.36,143.24,33.15,2.82
122,mayumba,76,GA,1526501597,99,-3.44,10.65,79.41,5.28
123,severo-kurilsk,80,RU,1526501598,95,50.68,156.12,37.47,5.39
124,simao,12,CN,1526501598,82,22.76,100.79,62.58,2.82
125,la palma,36,CO,1526501599,73,5.36,-74.39,77.52,0.92
126,nanortalik,92,GL,1526501599,93,60.14,-45.24,33.87,19.15
127,guarapari,0,BR,1526497200,74,-20.67,-40.5,82.4,11.41
128,nouadhibou,0,MR,1526497200,68,20.93,-17.03,68.0,20.8
129,tobol,0,SE,1526498400,48,59.83,12.54,64.4,2.24
130,sembakung,20,ID,1526501601,98,3.82,117.25,76.35,2.37
131,ust-nera,88,RU,1526501601,96,64.57,143.24,33.15,2.59
132,porbandar,0,IN,1526501602,93,21.64,69.61,81.66,13.0
133,taywarah,80,AF,1526501602,87,33.35,64.42,42.78,2.26
134,cabo san lucas,5,MX,1526499660,24,22.89,-109.91,93.2,4.7
135,verkhoyansk,92,RU,1526501603,80,67.55,133.39,21.45,7.07
136,xifeng,8,CN,1526501603,87,42.73,124.72,56.46,7.29
137,dhrangadhra,0,IN,1526501603,72,22.99,71.47,83.28,13.67
138,arraial do cabo,0,BR,1526500800,54,-22.97,-42.02,84.2,9.17
139,campobasso,64,IT,1526501604,96,41.56,14.66,47.55,1.59
140,ilulissat,20,GL,1526496600,59,69.22,-51.1,37.4,9.17
141,neiafu,40,TO,1526497200,88,-18.65,-173.98,75.2,8.05
142,lorengau,12,PG,1526501605,100,-2.02,147.27,82.47,2.04
143,mingguang,68,CN,1526501606,95,32.78,118.01,69.96,5.84
144,broome,75,GB,1526498400,81,52.47,1.45,50.0,11.41
145,te anau,24,NZ,1526501606,79,-45.41,167.72,33.87,7.4
146,leningradskiy,48,RU,1526501607,100,69.38,178.42,24.42,8.75
147,saint-georges,0,CA,1526501608,41,46.12,-70.67,62.67,7.63
148,roma,40,IT,1526498400,82,41.89,12.48,64.4,3.36
149,victoria,75,BN,1526499000,100,5.28,115.24,77.0,5.39
150,tairua,56,NZ,1526501609,88,-37.02,175.85,57.9,7.07
151,cayenne,20,GF,1526500800,83,4.94,-52.33,80.6,12.75
